"Month","Year","Plant ID","Operator ID","Quantity Consumed in Physical Units for Electric Generation","Physical Unit Label","Reported Prime Mover","ReportedFuelTypeCode","EnergySource","Fuel Group","Quantity","Average Heat Content","Average Sulfur Content","Average Ash Content","Fuel Cost","Moisture Content","Primary Transportation Mode"
1,2024,3,195,"41646.0","mcf","CA","NG","NG","Natural Gas",679779,1.023,0,0,"373.8",".","PL"
1,2024,3,195,"41646.0","mcf","CA","NG","NG","Natural Gas",6759960,1.023,0,0,"376.0",".","PL"
2,2024,3,195,"19428.0","mcf","CA","NG","NG","Natural Gas",7234078,1.022,0,0,"254.3",".","PL"
2,2024,3,195,"19428.0","mcf","CA","NG","NG","Natural Gas",17,1.059,0,0,"1265265.2",".","PL"
3,2024,3,195,"150437.0","mcf","CA","NG","NG","Natural Gas",178,1.022,0,0,"133900.3",".","PL"
3,2024,3,195,"150437.0","mcf","CA","NG","NG","Natural Gas",6411159,1.02,0,0,"196.7",".","PL"
4,2024,3,195,"184277.0","mcf","CA","NG","NG","Natural Gas",48911,1.017,0,0,"631.8",".","PL"
4,2024,3,195,"184277.0","mcf","CA","NG","NG","Natural Gas",5259014,1.017,0,0,"207.5",".","PL"
5,2024,3,195,"347065.0","mcf","CA","NG","NG","Natural Gas",154483,1.015,0,0,"375.0",".","PL"
5,2024,3,195,"347065.0","mcf","CA","NG","NG","Natural Gas",7339602,1.015,0,0,"255.1",".","PL"
6,2024,3,195,"398051.0","mcf","CA","NG","NG","Natural Gas",335380,1.02,0,0,"371.0",".","PL"
6,2024,3,195,"398051.0","mcf","CA","NG","NG","Natural Gas",7136040,1.019,0,0,"337.1",".","PL"
7,2024,3,195,"538380.0","mcf","CA","NG","NG","Natural Gas",429076,1.022,0,0,"305.4",".","PL"
7,2024,3,195,"538380.0","mcf","CA","NG","NG","Natural Gas",7974388,1.022,0,0,"281.9",".","PL"
8,2024,3,195,"574143.0","mcf","CA","NG","NG","Natural Gas",601041,1.023,0,0,"252.3",".","PL"
8,2024,3,195,"574143.0","mcf","CA","NG","NG","Natural Gas",7945821,1.024,0,0,"244.8",".","PL"
9,2024,3,195,"334012.0","mcf","CA","NG","NG","Natural Gas",47215,1.022,0,0,"722.1",".","PL"
9,2024,3,195,"334012.0","mcf","CA","NG","NG","Natural Gas",7486901,1.023,0,0,"266.7",".","PL"
10,2024,3,195,"231198.0","mcf","CA","NG","NG","Natural Gas",7180607,1.022,0,0,"280.2",".","PL"
10,2024,3,195,"231198.0","mcf","CA","NG","NG","Natural Gas",67881,1.023,0,0,"595.1",".","PL"
11,2024,3,195,"173270.0","mcf","CA","NG","NG","Natural Gas",11485,1.017,0,0,"2241.6",".","PL"
11,2024,3,195,"173270.0","mcf","CA","NG","NG","Natural Gas",6641575,1.018,0,0,"262.6",".","PL"
1,2024,3,195,"7803343.0","mcf","CT","NG","NG","Natural Gas",679779,1.023,0,0,"373.8",".","PL"
1,2024,3,195,"7803343.0","mcf","CT","NG","NG","Natural Gas",6759960,1.023,0,0,"376.0",".","PL"
2,2024,3,195,"7444935.0","mcf","CT","NG","NG","Natural Gas",7234078,1.022,0,0,"254.3",".","PL"
2,2024,3,195,"7444935.0","mcf","CT","NG","NG","Natural Gas",17,1.059,0,0,"1265265.2",".","PL"
3,2024,3,195,"6575111.0","mcf","CT","NG","NG","Natural Gas",178,1.022,0,0,"133900.3",".","PL"
3,2024,3,195,"6575111.0","mcf","CT","NG","NG","Natural Gas",6411159,1.02,0,0,"196.7",".","PL"
4,2024,3,195,"5733373.0","mcf","CT","NG","NG","Natural Gas",48911,1.017,0,0,"631.8",".","PL"
4,2024,3,195,"5733373.0","mcf","CT","NG","NG","Natural Gas",5259014,1.017,0,0,"207.5",".","PL"
5,2024,3,195,"7124300.0","mcf","CT","NG","NG","Natural Gas",154483,1.015,0,0,"375.0",".","PL"
5,2024,3,195,"7124300.0","mcf","CT","NG","NG","Natural Gas",7339602,1.015,0,0,"255.1",".","PL"
6,2024,3,195,"7384517.0","mcf","CT","NG","NG","Natural Gas",335380,1.02,0,0,"371.0",".","PL"
6,2024,3,195,"7384517.0","mcf","CT","NG","NG","Natural Gas",7136040,1.019,0,0,"337.1",".","PL"
7,2024,3,195,"7669669.0","mcf","CT","NG","NG","Natural Gas",429076,1.022,0,0,"305.4",".","PL"
7,2024,3,195,"7669669.0","mcf","CT","NG","NG","Natural Gas",7974388,1.022,0,0,"281.9",".","PL"
8,2024,3,195,"7658213.0","mcf","CT","NG","NG","Natural Gas",601041,1.023,0,0,"252.3",".","PL"
8,2024,3,195,"7658213.0","mcf","CT","NG","NG","Natural Gas",7945821,1.024,0,0,"244.8",".","PL"
9,2024,3,195,"7423947.0","mcf","CT","NG","NG","Natural Gas",47215,1.022,0,0,"722.1",".","PL"
9,2024,3,195,"7423947.0","mcf","CT","NG","NG","Natural Gas",7486901,1.023,0,0,"266.7",".","PL"
10,2024,3,195,"7169534.0","mcf","CT","NG","NG","Natural Gas",7180607,1.022,0,0,"280.2",".","PL"
10,2024,3,195,"7169534.0","mcf","CT","NG","NG","Natural Gas",67881,1.023,0,0,"595.1",".","PL"
11,2024,3,195,"6679264.0","mcf","CT","NG","NG","Natural Gas",11485,1.017,0,0,"2241.6",".","PL"
11,2024,3,195,"6679264.0","mcf","CT","NG","NG","Natural Gas",6641575,1.018,0,0,"262.6",".","PL"
1,2024,3,195,"44058.0","short tons","ST","BIT","BIT","Coal",65880,20.31,0.75,11.8,"548.0","16.0","RV"
2,2024,3,195,"0.0","short tons","ST","BIT","BIT","Coal",76755,20.31,0.75,11.8,"602.2","16.0","RV"
3,2024,3,195,"0.0","short tons","ST","BIT","BIT","Coal",43916,20.056,0.77,11.3,"497.6","15.5","RV"
1,2024,3,195,"679765.0","mcf","ST","NG","NG","Natural Gas",679779,1.023,0,0,"373.8",".","PL"
1,2024,3,195,"679765.0","mcf","ST","NG","NG","Natural Gas",6759960,1.023,0,0,"376.0",".","PL"
2,2024,3,195,"0.0","mcf","ST","NG","NG","Natural Gas",7234078,1.022,0,0,"254.3",".","PL"
2,2024,3,195,"0.0","mcf","ST","NG","NG","Natural Gas",17,1.059,0,0,"1265265.2",".","PL"
3,2024,3,195,"6.0","mcf","ST","NG","NG","Natural Gas",178,1.022,0,0,"133900.3",".","PL"
3,2024,3,195,"6.0","mcf","ST","NG","NG","Natural Gas",6411159,1.02,0,0,"196.7",".","PL"
4,2024,3,195,"48911.0","mcf","ST","NG","NG","Natural Gas",48911,1.017,0,0,"631.8",".","PL"
4,2024,3,195,"48911.0","mcf","ST","NG","NG","Natural Gas",5259014,1.017,0,0,"207.5",".","PL"
5,2024,3,195,"154483.0","mcf","ST","NG","NG","Natural Gas",154483,1.015,0,0,"375.0",".","PL"
5,2024,3,195,"154483.0","mcf","ST","NG","NG","Natural Gas",7339602,1.015,0,0,"255.1",".","PL"
6,2024,3,195,"335366.0","mcf","ST","NG","NG","Natural Gas",335380,1.02,0,0,"371.0",".","PL"
6,2024,3,195,"335366.0","mcf","ST","NG","NG","Natural Gas",7136040,1.019,0,0,"337.1",".","PL"
7,2024,3,195,"429006.0","mcf","ST","NG","NG","Natural Gas",429076,1.022,0,0,"305.4",".","PL"
7,2024,3,195,"429006.0","mcf","ST","NG","NG","Natural Gas",7974388,1.022,0,0,"281.9",".","PL"
8,2024,3,195,"601460.0","mcf","ST","NG","NG","Natural Gas",601041,1.023,0,0,"252.3",".","PL"
8,2024,3,195,"601460.0","mcf","ST","NG","NG","Natural Gas",7945821,1.024,0,0,"244.8",".","PL"
9,2024,3,195,"47210.0","mcf","ST","NG","NG","Natural Gas",47215,1.022,0,0,"722.1",".","PL"
9,2024,3,195,"47210.0","mcf","ST","NG","NG","Natural Gas",7486901,1.023,0,0,"266.7",".","PL"
10,2024,3,195,"67868.0","mcf","ST","NG","NG","Natural Gas",7180607,1.022,0,0,"280.2",".","PL"
10,2024,3,195,"67868.0","mcf","ST","NG","NG","Natural Gas",67881,1.023,0,0,"595.1",".","PL"
11,2024,3,195,"11216.0","mcf","ST","NG","NG","Natural Gas",11485,1.017,0,0,"2241.6",".","PL"
11,2024,3,195,"11216.0","mcf","ST","NG","NG","Natural Gas",6641575,1.018,0,0,"262.6",".","PL"
1,2024,10,195,"20157.0","mcf","GT","NG","NG","Natural Gas",544609,1.035,0,0,"671.2",".","PL"
2,2024,10,195,"3210.0","mcf","GT","NG","NG","Natural Gas",133008,1.031,0,0,"795.0",".","PL"
3,2024,10,195,"26042.0","mcf","GT","NG","NG","Natural Gas",364119,1.03,0,0,"376.4",".","PL"
4,2024,10,195,"242285.0","mcf","GT","NG","NG","Natural Gas",940745,1.028,0,0,"245.7",".","PL"
5,2024,10,195,"219605.0","mcf","GT","NG","NG","Natural Gas",1347906,1.036,0,0,"296.2",".","PL"
6,2024,10,195,"85177.0","mcf","GT","NG","NG","Natural Gas",825647,1.035,0,0,"404.2",".","PL"
7,2024,10,195,"227576.0","mcf","GT","NG","NG","Natural Gas",1785777,1.039,0,0,"287.1",".","PL"
8,2024,10,195,"602772.0","mcf","GT","NG","NG","Natural Gas",2335409,1.04,0,0,"249.1",".","PL"
9,2024,10,195,"294933.0","mcf","GT","NG","NG","Natural Gas",2102248,1.037,0,0,"276.7",".","PL"
10,2024,10,195,"271101.0","mcf","GT","NG","NG","Natural Gas",1431946,1.036,0,0,"299.8",".","PL"
11,2024,10,195,"62618.0","mcf","GT","NG","NG","Natural Gas",1566365,1.034,0,0,"261.0",".","PL"
1,2024,10,195,"583895.0","mcf","ST","NG","NG","Natural Gas",544609,1.035,0,0,"671.2",".","PL"
2,2024,10,195,"128147.0","mcf","ST","NG","NG","Natural Gas",133008,1.031,0,0,"795.0",".","PL"
3,2024,10,195,"474405.0","mcf","ST","NG","NG","Natural Gas",364119,1.03,0,0,"376.4",".","PL"
4,2024,10,195,"741916.0","mcf","ST","NG","NG","Natural Gas",940745,1.028,0,0,"245.7",".","PL"
5,2024,10,195,"1017248.0","mcf","ST","NG","NG","Natural Gas",1347906,1.036,0,0,"296.2",".","PL"
6,2024,10,195,"970879.0","mcf","ST","NG","NG","Natural Gas",825647,1.035,0,0,"404.2",".","PL"
7,2024,10,195,"2050891.0","mcf","ST","NG","NG","Natural Gas",1785777,1.039,0,0,"287.1",".","PL"
8,2024,10,195,"2136748.0","mcf","ST","NG","NG","Natural Gas",2335409,1.04,0,0,"249.1",".","PL"
9,2024,10,195,"1642418.0","mcf","ST","NG","NG","Natural Gas",2102248,1.037,0,0,"276.7",".","PL"
10,2024,10,195,"1121059.0","mcf","ST","NG","NG","Natural Gas",1431946,1.036,0,0,"299.8",".","PL"
11,2024,10,195,"1433453.0","mcf","ST","NG","NG","Natural Gas",1566365,1.034,0,0,"261.0",".","PL"
10,2024,26,195,"0.0","barrels","GT","DFO","DFO","Petroleum",1952,5.817,0,0,"1712.2",".","TR"
1,2024,26,195,"80186.0","short tons","ST","BIT","BIT","Coal",63686,24.442,1.21,13.6,"675.7","6.3","RR"
1,2024,26,195,"80186.0","short tons","ST","BIT","BIT","Coal",11611,24.376,2.21,11.1,"504.9","6.9","RR"
2,2024,26,195,"61119.0","short tons","ST","BIT","BIT","Coal",63453,23.912,1.36,14.3,"674.7","6.8","RR"
2,2024,26,195,"61119.0","short tons","ST","BIT","BIT","Coal",11873,23.634,2.27,13.1,"537.5","6.7","RR"
3,2024,26,195,"117757.0","short tons","ST","BIT","BIT","Coal",63227,24.102,1.28,13.2,"653.1","7.4","RR"
3,2024,26,195,"117757.0","short tons","ST","BIT","BIT","Coal",11127,25.692,0.55,7.3,"614.6","6.7","RR"
3,2024,26,195,"117757.0","short tons","ST","BIT","BIT","Coal",11640,23.634,2.27,13.1,"525.6","6.7","RR"
4,2024,26,195,"0.0","short tons","ST","BIT","BIT","Coal",63662,24.074,1.22,6.4,"674.1","14.3","RR"
4,2024,26,195,"0.0","short tons","ST","BIT","BIT","Coal",31343,25.538,0.57,7.2,"619.2","7.6","RR"
5,2024,26,195,"5875.0","short tons","ST","BIT","BIT","Coal",63542,24.01,1.2,14.5,"667.3","6.4","RR"
5,2024,26,195,"5875.0","short tons","ST","BIT","BIT","Coal",22462,23.632,2,12.8,"524.9","6.9","RR"
6,2024,26,195,"165313.0","short tons","ST","BIT","BIT","Coal",74234,24.666,1.3,13.9,"646.7","4.9","RR"
6,2024,26,195,"165313.0","short tons","ST","BIT","BIT","Coal",11383,23.74,2.47,13.4,"520.2","5.9","RR"
7,2024,26,195,"118868.0","short tons","ST","BIT","BIT","Coal",63583,24.56,1.24,13.8,"673.5","5.6","RR"
8,2024,26,195,"180092.0","short tons","ST","BIT","BIT","Coal",63583,24.56,1.24,13.8,"673.5","5.6","RR"
9,2024,26,195,"0.0","short tons","ST","BIT","BIT","Coal",74318,24.034,1.25,15.3,"670.0","5.3","RR"
10,2024,26,195,"0.0","short tons","ST","BIT","BIT","Coal",84873,24.616,1.24,14.8,"648.8","4.7","RR"
11,2024,26,195,"0.0","short tons","ST","BIT","BIT","Coal",63637,23.964,1.25,15.2,"685.9","6.1","RR"
1,2024,26,195,"260557.0","mcf","ST","NG","NG","Natural Gas",238941,1.033,0,0,"1414.0",".","PL"
2,2024,26,195,"186005.0","mcf","ST","NG","NG","Natural Gas",52811,1.03,0,0,"1260.5",".","PL"
4,2024,26,195,"1794740.0","mcf","ST","NG","NG","Natural Gas",1278543,1.023,0,0,"196.2",".","PL"
5,2024,26,195,"1747604.0","mcf","ST","NG","NG","Natural Gas",1678330,1.028,0,0,"301.6",".","PL"
6,2024,26,195,"2581917.0","mcf","ST","NG","NG","Natural Gas",2383653,1.031,0,0,"342.7",".","PL"
7,2024,26,195,"2858469.0","mcf","ST","NG","NG","Natural Gas",2790822,1.035,0,0,"282.0",".","PL"
8,2024,26,195,"2722371.0","mcf","ST","NG","NG","Natural Gas",2522210,1.037,0,0,"252.2",".","PL"
9,2024,26,195,"1343231.0","mcf","ST","NG","NG","Natural Gas",1249330,1.034,0,0,"326.8",".","PL"
10,2024,26,195,"592253.0","mcf","ST","NG","NG","Natural Gas",667739,1.032,0,0,"315.8",".","PL"
11,2024,26,195,"406105.0","mcf","ST","NG","NG","Natural Gas",453616,1.03,0,0,"247.0",".","PL"
2,2024,54,5580,"133.0","barrels","GT","DFO","DFO","Petroleum",719,5.82,0,0,"2169.0",".","TR"
1,2024,54,5580,"1482880.0","mcf","GT","NG","NG","Natural Gas",1506468,1.037,0,0,"549.5",".","PL"
2,2024,54,5580,"369197.0","mcf","GT","NG","NG","Natural Gas",324466,1.037,0,0,"283.4",".","PL"
3,2024,54,5580,"596907.0","mcf","GT","NG","NG","Natural Gas",593711,1.037,0,0,"165.0",".","PL"
4,2024,54,5580,"792186.0","mcf","GT","NG","NG","Natural Gas",790800,1.037,0,0,"163.5",".","PL"
5,2024,54,5580,"949166.0","mcf","GT","NG","NG","Natural Gas",993993,1.037,0,0,"214.9",".","PL"
6,2024,54,5580,"558113.0","mcf","GT","NG","NG","Natural Gas",579500,1.037,0,0,"242.0",".","PL"
7,2024,54,5580,"696706.0","mcf","GT","NG","NG","Natural Gas",691726,1.037,0,0,"212.1",".","PL"
8,2024,54,5580,"606935.0","mcf","GT","NG","NG","Natural Gas",601016,1.037,0,0,"195.3",".","PL"
9,2024,54,5580,"457468.0","mcf","GT","NG","NG","Natural Gas",448891,1.037,0,0,"220.8",".","PL"
10,2024,54,5580,"596874.0","mcf","GT","NG","NG","Natural Gas",575121,1.037,0,0,"225.6",".","PL"
11,2024,54,5580,"257434.0","mcf","GT","NG","NG","Natural Gas",308135,1.037,0,0,"220.5",".","PL"
1,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",117073,1.027,0,0,"278.6",".","PL"
1,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",539416,1.027,0,0,"292.6",".","PL"
1,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",352334,1.027,0,0,"270.6",".","PL"
1,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",307714,1.027,0,0,"272.1",".","PL"
1,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",243665,1.027,0,0,"267.6",".","PL"
1,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",307714,1.027,0,0,"266.6",".","PL"
2,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",476833,1.025,0,0,"263.1",".","PL"
2,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",476833,1.025,0,0,"261.1",".","PL"
2,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",227565,1.025,0,0,"260.1",".","PL"
2,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",171163,1.025,0,0,"285.1",".","PL"
2,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",122014,1.025,0,0,"278.1",".","PL"
2,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",555880,1.025,0,0,"259.1",".","PL"
2,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",34094,1.025,0,0,"285.1",".","PL"
3,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",26138,1.022,0,0,"197.3",".","PL"
3,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",286610,1.022,0,0,"175.3",".","PL"
3,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",286610,1.022,0,0,"173.3",".","PL"
3,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",279125,1.022,0,0,"171.3",".","PL"
3,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",78414,1.022,0,0,"190.3",".","PL"
3,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",235241,1.022,0,0,"172.3",".","PL"
3,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",146117,1.022,0,0,"197.3",".","PL"
4,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",1302456,1.02,0,0,"170.5",".","PL"
4,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",575906,1.02,0,0,"168.5",".","PL"
4,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",395069,1.02,0,0,"165.5",".","PL"
4,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",563595,1.02,0,0,"175.5",".","PL"
5,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",52736,1.022,0,0,"202.0",".","PL"
5,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",691343,1.022,0,0,"182.0",".","PL"
5,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",409191,1.022,0,0,"180.0",".","PL"
5,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",380330,1.022,0,0,"187.0",".","PL"
5,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",317976,1.022,0,0,"177.0",".","PL"
5,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",9810,1.022,0,0,"326.9",".","PL"
6,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",524322,1.025,0,0,"253.9",".","PL"
6,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",1027334,1.025,0,0,"255.9",".","PL"
6,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",131081,1.025,0,0,"275.9",".","PL"
6,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",259363,1.025,0,0,"250.9",".","PL"
6,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",518277,1.025,0,0,"260.9",".","PL"
6,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",12865,1.025,0,0,"292.2",".","PL"
6,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",19420,1.025,0,0,"364.9",".","PL"
7,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",149890,1.028,0,0,"285.6",".","PL"
7,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",1349002,1.028,0,0,"265.6",".","PL"
7,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",572963,1.028,0,0,"263.6",".","PL"
7,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",292684,1.028,0,0,"260.6",".","PL"
7,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",572693,1.028,0,0,"270.6",".","PL"
8,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",146977,1.028,0,0,"213.0",".","PL"
8,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",450685,1.028,0,0,"188.0",".","PL"
8,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",1352056,1.028,0,0,"193.0",".","PL"
8,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",483937,1.028,0,0,"191.0",".","PL"
8,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",483425,1.028,0,0,"198.0",".","PL"
9,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",421460,1.026,0,0,"195.4",".","PL"
9,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",404835,1.026,0,0,"202.4",".","PL"
9,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",1290510,1.026,0,0,"197.4",".","PL"
9,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",146136,1.026,0,0,"217.4",".","PL"
9,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",422551,1.026,0,0,"192.4",".","PL"
10,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",606975,1.025,0,0,"286.7",".","PL"
10,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",207035,1.025,0,0,"281.7",".","PL"
10,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",244752,1.025,0,0,"291.7",".","PL"
10,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",244756,1.025,0,0,"284.7",".","PL"
10,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",52203,1.025,0,0,"306.7",".","PL"
11,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",38349,1.023,0,0,"264.6",".","PL"
11,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",319121,1.023,0,0,"244.6",".","PL"
11,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",246493,1.023,0,0,"242.6",".","PL"
11,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",246461,1.023,0,0,"249.6",".","PL"
11,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",158287,1.023,0,0,"239.6",".","PL"
11,2024,56,189,"0.0","mcf","CA","NG","NG","Natural Gas",8523,1.023,0,0,"261.7",".","PL"
1,2024,56,189,"2061569.0","mcf","CT","NG","NG","Natural Gas",117073,1.027,0,0,"278.6",".","PL"
1,2024,56,189,"2061569.0","mcf","CT","NG","NG","Natural Gas",539416,1.027,0,0,"292.6",".","PL"
1,2024,56,189,"2061569.0","mcf","CT","NG","NG","Natural Gas",352334,1.027,0,0,"270.6",".","PL"
1,2024,56,189,"2061569.0","mcf","CT","NG","NG","Natural Gas",307714,1.027,0,0,"272.1",".","PL"
1,2024,56,189,"2061569.0","mcf","CT","NG","NG","Natural Gas",243665,1.027,0,0,"267.6",".","PL"
1,2024,56,189,"2061569.0","mcf","CT","NG","NG","Natural Gas",307714,1.027,0,0,"266.6",".","PL"
2,2024,56,189,"2097042.0","mcf","CT","NG","NG","Natural Gas",476833,1.025,0,0,"263.1",".","PL"
2,2024,56,189,"2097042.0","mcf","CT","NG","NG","Natural Gas",476833,1.025,0,0,"261.1",".","PL"
2,2024,56,189,"2097042.0","mcf","CT","NG","NG","Natural Gas",227565,1.025,0,0,"260.1",".","PL"
