,Unnamed: 0.1,Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade) After Normalization,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade After Normalization,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade) After Normalization,Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade) After Normalization,Curricular units 2nd sem (without evaluations),Unemployment rate After Normalization,Inflation rate After Normalization,GDP After Normalization,Target,Avg Grade After Normalization,Total Pass Rate After Normalization,Total Missed Rate After Normalization,Economic Pressure Index After Normalization,Age x Admission grade After Normalization,Scholarship holder x Pass rate After Normalization,Daytime attendance x Pass rate After Normalization
0,0,0,1,17,5,171,1,1,0.5219853078690102,1,19,12,5,9,0.4577028532310763,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.1739371508837802,0.2183445031342835,0.5059197806969964,Dropout,0.0,0.0,0.0,0.27949835887723573,0.05634241268977541,0.0,0.0
1,1,1,1,15,1,9254,1,1,0.7780665087472556,1,1,3,3,3,0.6197132965477365,1,0,0,0,1,0,19,0,0,6,6,6,0.7417218543046358,0,0,6,6,6,0.7358974361335306,0,0.3424387658024422,0.049623750712337156,0.44944857049429693,Graduate,0.6341046879180124,1.0,0.0,0.37452760697921644,0.03985121087381677,0.0,1.0
2,2,2,1,1,5,9070,1,1,0.5219853078690102,1,37,37,9,9,0.4284184212827391,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,0.1739371508837802,0.2183445031342835,0.5059197806969964,Dropout,0.0,0.0,0.0,0.27949835887723573,0.036856021310695486,0.0,0.0
3,3,3,1,17,2,9773,1,1,0.5219853078690102,1,38,37,5,3,0.3647566255546124,1,0,0,1,0,0,20,0,0,6,8,6,0.7114474929801324,0,0,6,10,5,0.6676923077436687,0,0.0978396473721263,0.0,0.217024957975818,Graduate,0.5673034645795234,0.9166666666666666,0.0,0.33045021105106365,0.054810517187540764,0.0,0.9166666666666666
4,4,4,2,39,1,8014,0,1,0.3881653984855126,1,37,38,9,9,0.6098198826743584,0,0,0,1,0,0,45,0,0,6,9,5,0.6534216333774835,0,0,6,6,6,0.7000000000538462,0,0.3424387658024422,0.049623750712337156,0.44944857049429693,Graduate,0.5498356119485309,0.9166666666666666,0.0,0.37452760697921644,0.5376802315369346,0.0,0.0
5,5,5,2,39,1,9991,0,19,0.5936818197721161,1,37,37,9,7,0.30240897927840393,0,0,1,1,1,0,50,0,0,5,10,5,0.628192999205298,0,0,5,17,5,0.6192307692784024,5,0.46745609300015906,0.10917225156714175,0.34780039212943786,Graduate,0.4824066169322619,1.0,0.3333333333333333,0.5609466851707618,0.6207798705840295,0.0,0.0
6,6,6,1,1,1,9500,1,1,0.6530653382772872,1,19,38,7,10,0.4703311057992785,1,0,0,1,0,1,18,0,0,7,9,7,0.704635761589404,0,0,8,8,8,0.7724230769824941,0,0.4294073412443323,0.3572910051288275,0.1611481815647259,Graduate,0.6332993339471518,1.0,0.0,0.7607102960745002,0.018473988438258426,1.0,1.0
7,7,7,1,18,4,9254,1,1,0.5030742324882614,1,37,37,9,9,0.27943452642119837,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,0.4294073412443323,0.3572910051288275,0.1611481815647259,Dropout,0.0,0.0,0.0,0.7607102960745002,0.09116620938696268,0.0,0.0
8,8,8,1,1,3,9238,1,1,0.6195003996999181,62,1,1,9,9,0.4805498244296551,0,0,0,1,0,1,21,1,0,6,8,6,0.7350993377483444,0,0,6,7,6,0.7615384614431954,0,0.46745609300015906,0.10917225156714175,0.34780039212943786,Graduate,0.6472177453072706,1.0,0.0,0.5609466851707618,0.07576566515278776,1.0,1.0
9,9,9,1,1,1,9238,1,1,0.6261719444804298,1,1,19,4,7,0.4068138309640723,1,0,1,0,0,0,18,0,0,6,9,5,0.6039735099337749,0,0,6,14,2,0.7269230769789942,0,0.0706619675465357,0.2183445031342835,0.6111345618114996,Dropout,0.5347376324787516,0.5833333333333334,0.0,0.13109097992648266,0.017531813085261305,0.0,0.5833333333333334
